"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","#Tech #magazine #Micromax Vdeo 4 Specs: The Micromax Vdeo 4 is powered by 1.1GHz MSM8909 processor and it comes… https://t.co/YtD0ioIkKm",FALSE,0,NA,2017-01-17 13:55:44,FALSE,NA,"821355325529853952",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","mobilestationn",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/650858462390415361/eormI3_A_normal.jpg"
"2","#tech #magazine #Micromax Vdeo 4 Specs: The Micromax Vdeo 4 is powered by 1.1GHz MSM8909 processor and it comes… https://t.co/HlrunEADEb",FALSE,0,NA,2017-01-17 13:33:34,FALSE,NA,"821349748514820096",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","mobilestationn",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/650858462390415361/eormI3_A_normal.jpg"
"3","#Micromax 32T7260MHD / 32T6175MHD 81 cm (32 inch) On PaisaOne
ShopNow:-https://t.co/tU9qarJFIJ https://t.co/t685h5OHlG",FALSE,1,NA,2017-01-17 13:16:03,FALSE,NA,"821345337847578625",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PaisaOne_Ind",0,FALSE,FALSE,NA,NA,"India","en","http://pbs.twimg.com/profile_images/783578173069856769/cMLlXF_6_normal.jpg"
"4","#Tech #Magazine #Micromax Vdeo 4 Specs: The Micromax Vdeo 4 is powered by 1.1GHz MSM8909 processor and…… https://t.co/lQGZ366X5C",FALSE,0,NA,2017-01-17 12:58:10,TRUE,NA,"821340837833383937",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","mobilestationn",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/650858462390415361/eormI3_A_normal.jpg"
"5","#deals #Micromax Canvas Knight 2 16gb White is selling cheaper at INR 7999 today https://t.co/3BzYhAwGKQ #snapdeal",FALSE,0,NA,2017-01-17 12:41:21,FALSE,NA,"821336608318197760",NA,"<a href=""http://www.fliptrak.in"" rel=""nofollow"">fliptrak-node</a>","pricetrak",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/471706985071521792/1X8heI93_normal.png"
"6","#Tech #magazine #Micromax Vdeo 4 Specs: The Micromax Vdeo 4 is powered by 1.1GHz MSM8909… https://t.co/yWjwDbUyip",FALSE,0,NA,2017-01-17 12:37:27,FALSE,NA,"821335625832034304",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","mobilestationn",0,FALSE,FALSE,NA,NA,"Nigeria","en","http://pbs.twimg.com/profile_images/650858462390415361/eormI3_A_normal.jpg"
"7","RT @meheksharma899: #Flipkart #MICROMAX @Uber_India @Olacabs @Micromax_Mobile @Flipkart @Gurmeetramrahim
#Uber Strategically Struck #Ola
ht…",FALSE,0,NA,2017-01-17 12:10:15,FALSE,NA,"821328781885534208",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DyanamicApp_C",4,TRUE,FALSE,NA,NA,"Faridabad, India","en","http://pbs.twimg.com/profile_images/740095459922956288/8UjS0Iji_normal.jpg"
"8","RT @Smartprix: #Micromax Lists #VoLTE Supporting #Vdeo3 and #Vdeo4 Online; To Feature #GoogleDuo Out Of The Box. https://t.co/xbppcsVmrd ht…",FALSE,0,NA,2017-01-17 11:52:36,FALSE,NA,"821324338972545024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Smartprix",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/575988122682462208/KfQDcG_p_normal.png"
"9","RT @maalaimalar: <U+0BAE><U+0BC8><U+0B95><U+0BCD><U+0BB0><U+0BCB><U+0BAE><U+0BC7><U+0B95><U+0BCD><U+0BB8><U+0BCD> <U+0BB5><U+0BBF><U+0B9F><U+0BBF><U+0BAF><U+0BCB> <U+0BB8><U+0BCD><U+0BAE><U+0BBE><U+0BB0><U+0BCD><U+0B9F><U+0BCD><U+0BAA><U+0BCB><U+0BA9><U+0BCD><U+0B95><U+0BB3><U+0BCD> <U+0B85><U+0BB1><U+0BBF><U+0BAE><U+0BC1><U+0B95><U+0BAE><U+0BCD>
https://t.co/EzqBCnOmRW
#MICROMAX #Vdeo4 #smartphone #Vdeo3 https://t.co/ioy9…",FALSE,0,NA,2017-01-17 11:51:46,FALSE,NA,"821324127663517697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SYAFIQ__LYNN",12,TRUE,FALSE,NA,NA,"KUALA LANGAT","en","http://pbs.twimg.com/profile_images/770369578182533120/6fA0MckH_normal.jpg"
"10","RT @maalaimalar: <U+0BAE><U+0BC8><U+0B95><U+0BCD><U+0BB0><U+0BCB><U+0BAE><U+0BC7><U+0B95><U+0BCD><U+0BB8><U+0BCD> <U+0BB5><U+0BBF><U+0B9F><U+0BBF><U+0BAF><U+0BCB> <U+0BB8><U+0BCD><U+0BAE><U+0BBE><U+0BB0><U+0BCD><U+0B9F><U+0BCD><U+0BAA><U+0BCB><U+0BA9><U+0BCD><U+0B95><U+0BB3><U+0BCD> <U+0B85><U+0BB1><U+0BBF><U+0BAE><U+0BC1><U+0B95><U+0BAE><U+0BCD>
https://t.co/EzqBCnOmRW
#MICROMAX #Vdeo4 #smartphone #Vdeo3 https://t.co/ioy9…",FALSE,0,NA,2017-01-17 11:47:13,FALSE,NA,"821322982824022016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mbaynard04",12,TRUE,FALSE,NA,NA,"Lexington","en","http://pbs.twimg.com/profile_images/764204617139879940/Pxoz1OSL_normal.jpg"
