"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","Check out Motorola T305 Bluetooth Portable Car Speakerphone With Usb Car Charger #Motorola https://t.co/wgvMTXJOKe via @eBay",FALSE,0,NA,2017-01-17 14:37:01,FALSE,NA,"821365714821009408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmMoshe",0,FALSE,FALSE,NA,NA,"","he","http://pbs.twimg.com/profile_images/378800000747528020/e8d3dcd13e1f16539b301553649e35a7_normal.jpeg"
"2","Pinche @verified @Twitter #Twitter esta bien lenta la app para #Android @Android  #Motorola @Moto_Support <ed><U+00A0><U+00BD><ed><U+00B8><U+009E><ed><U+00A0><U+00BD><ed><U+00B8><U+009E>",FALSE,0,NA,2017-01-17 14:17:02,FALSE,NA,"821360687301607425",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","peedroo_c",0,FALSE,FALSE,NA,NA,"Aquí","es","http://pbs.twimg.com/profile_images/818222510529454081/qd9d0ykQ_normal.jpg"
"3","RT @AmMoshe: Check out #Motorola SMART RIDER M990 #Car Cellular Phone #Gsm With #GPS Tested  Work #Motorola https://t.co/woZflwjhUO via @eB…",FALSE,0,NA,2017-01-17 14:16:01,FALSE,NA,"821360428936732677",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","piesafetommy",1,TRUE,FALSE,NA,NA,"Rome (Westmoreland) New York","en","http://pbs.twimg.com/profile_images/618579717994754048/5sORukwb_normal.jpg"
"4","Check out #Motorola SMART RIDER M990 #Car Cellular Phone #Gsm With #GPS Tested  Work #Motorola https://t.co/woZflwjhUO via @eBay",FALSE,0,NA,2017-01-17 14:12:48,FALSE,NA,"821359622053302272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmMoshe",1,FALSE,FALSE,NA,NA,"","he","http://pbs.twimg.com/profile_images/378800000747528020/e8d3dcd13e1f16539b301553649e35a7_normal.jpeg"
"5","RT @AmMoshe: Check out Motorola T305 Bluetooth Portable Car Speakerphone With Usb Car Charger #Motorola https://t.co/wgvMTXJOKe via @eBay",FALSE,0,NA,2017-01-17 14:08:13,FALSE,NA,"821358467634053120",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","helenovens3",2,TRUE,FALSE,NA,NA,"Alicante, España","en-gb","http://pbs.twimg.com/profile_images/807273125067063296/IDRcli1G_normal.jpg"
"6","Check out Motorola T605 #Bluetooth Hands Free Universal System Tested &amp; Work  #Motorola https://t.co/uTjqi6YDSZ via @eBay",FALSE,1,NA,2017-01-17 14:07:51,FALSE,NA,"821358375653011456",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AmMoshe",0,FALSE,FALSE,NA,NA,"","he","http://pbs.twimg.com/profile_images/378800000747528020/e8d3dcd13e1f16539b301553649e35a7_normal.jpeg"
"7","LG V20 e Moto Z: Os tops da LG é da Lenovo (ou Motorola, se preferir)...
#motoz #motorola… https://t.co/r3ScEtS0m6",FALSE,0,NA,2017-01-17 13:56:09,FALSE,NA,"821355429930369025",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","brasiligeeks",0,FALSE,FALSE,NA,NA,"","pt","http://pbs.twimg.com/profile_images/813570772669202432/xKJXnkuw_normal.jpg"
"8","Check out BRAND NEW VERIZON MOTOROLA V60S  V60 - GOOD ESN - ORIGINAL LENS TAPE ON PHONE #Motorola https://t.co/1PUQjrVmdK via @eBay",FALSE,0,NA,2017-01-17 13:42:21,FALSE,NA,"821351958552465408",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tech615TN",0,FALSE,FALSE,NA,NA,"Nashville, TN","en","http://pbs.twimg.com/profile_images/783377452370362369/62ZZseI0_normal.jpg"
"9","Check out BRAND NEW UNUSED C SPIRE MOTOROLA VE20 RAZR  #Motorola https://t.co/trrk1SXUru via @eBay",FALSE,0,NA,2017-01-17 13:40:47,FALSE,NA,"821351565156093952",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Tech615TN",0,FALSE,FALSE,NA,NA,"Nashville, TN","en","http://pbs.twimg.com/profile_images/783377452370362369/62ZZseI0_normal.jpg"
"10","El Moto G5 vuelve a filtrarse dejando ver de nuevo sus… https://t.co/7eTXoSXKbX #Motorola #Primeras_marcas… https://t.co/sPTFqkKyMw",FALSE,0,NA,2017-01-17 13:31:07,TRUE,NA,"821349130475712513",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","androidizados",0,FALSE,FALSE,NA,NA,"","es","http://pbs.twimg.com/profile_images/2915240079/8a0ef651c78244d02846378085ea5d06_normal.png"
"11","Disponible pantallas para #motorola
#laclinicadelcelular 
Whatsaap… https://t.co/HxQERCEtNO",FALSE,0,NA,2017-01-17 13:23:22,FALSE,NA,"821347179872677888",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lacliniblack",0,FALSE,FALSE,"-72.5039","7.8942","Calle 13 # 5-34 centro (cucuta","es","http://pbs.twimg.com/profile_images/2952285799/b537a5f8f89fd8de751ef8994b1a5996_normal.jpeg"
"12","RT @DagCleo: #motorola #babyphone im test 5 https://t.co/DW4Srk1pCx https://t.co/AmODCMsh0i",FALSE,0,NA,2017-01-17 13:15:05,FALSE,NA,"821345095077216256",NA,"<a href=""https://twitter.com/KrystalCamey"" rel=""nofollow"">KrystalCamey</a>","cookswithtofu",26,TRUE,FALSE,NA,NA,"Ohio, USA","de","http://pbs.twimg.com/profile_images/811969754781089792/x6HB9L_3_normal.jpg"
