"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"1","@fick_hamzah Mau #UangTunai #500ribu &amp; #Samsung #Smartphone?!! BURUAN Follow @postingiklan , Cek Fav-nya",FALSE,0,"fick_hamzah",2017-01-17 14:35:24,FALSE,"821362954335494145","821365310724784128","2542803948","<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","jimmy_angker",0,FALSE,FALSE,NA,NA,"indonesia","en","http://pbs.twimg.com/profile_images/471889084902682624/BuCZnyl8_normal.jpeg"
"2","#Samsung says it knows why the #GalaxyNote7 exploded — and it's no surprise https://t.co/oH3bl8LZ53",FALSE,0,NA,2017-01-17 14:35:19,FALSE,NA,"821365285777248258",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jimbuff",0,FALSE,FALSE,NA,NA,"Asheville, NC","en","http://pbs.twimg.com/profile_images/606249862275993600/MAR8QSve_normal.jpg"
"3","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 14:34:55,FALSE,NA,"821365186468704256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_romiain",1330,TRUE,FALSE,NA,NA,"Paris, France","fr","http://pbs.twimg.com/profile_images/617977891763146752/OrwcGO_T_normal.png"
"4","<U+0421><U+0430><U+043C><U+044B><U+0435> <U+043F><U+043E><U+043F><U+0443><U+043B><U+044F><U+0440><U+043D><U+044B><U+0435> #Android-#<U+0441><U+043C><U+0430><U+0440><U+0442><U+0444><U+043E><U+043D><U+044B> <U+0432> <U+0420><U+043E><U+0441><U+0441><U+0438><U+0438> #<U+0433><U+0430><U+0434><U+0436><U+0435><U+0442><U+044B> #antutu #asus #samsung #xiaomi #<U+0438><U+0442><U+043E><U+0433><U+0438><U+0433><U+043E><U+0434><U+0430> #<U+0440><U+0435><U+0439><U+0442><U+0438><U+043D><U+0433> #<U+0440><U+043E><U+0441><U+0441><U+0438><U+044F>",FALSE,0,NA,2017-01-17 14:34:38,FALSE,NA,"821365116922892289",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","asal1987",0,FALSE,FALSE,NA,NA,"","ru","http://pbs.twimg.com/profile_images/378800000794468758/1534cab1061ba384947f75b862c1d44d_normal.jpeg"
"5","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 14:34:27,FALSE,NA,"821365068101251073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","naelmode",1330,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/713861116070400000/fDZch69P_normal.jpg"
"6","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 14:34:10,FALSE,NA,"821364997846601728",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ineedhobbie",1330,TRUE,FALSE,NA,NA,"France","fr","http://pbs.twimg.com/profile_images/735119489348608001/Qw36b09Y_normal.jpg"
"7","RT @NathanHillp1: #Samsung Resumes Android 7.0 Nougat Rollout for the Galaxy S7 and Galaxy S7 edge
#Technology #Security #News
https://t.co…",FALSE,0,NA,2017-01-17 14:33:57,FALSE,NA,"821364944289538048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JAGallardo",2,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/634042066805329920/77IUCu0m_normal.jpg"
"8","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 14:33:53,FALSE,NA,"821364925184561152",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kikibrik22",1331,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/615673938241277952/WvDxLRHE_normal.jpg"
"9","https://t.co/2lbOI3BR1U

When #Alibaba, #Samsung &amp; #Mars #Unite #AgainstCounterfeiting",FALSE,0,NA,2017-01-17 14:33:45,FALSE,NA,"821364895568592896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ILASA2017",0,FALSE,FALSE,NA,NA,"New York, NY","fr","http://pbs.twimg.com/profile_images/579998878558265344/mOOgmu0W_normal.jpg"
"10","RT @boulanger: RT&amp;Follow pour tenter de remporter le #Samsung S7 Edge Bleu corail !
Découvrez le vite <U+27A1><U+FE0F> https://t.co/nOoR89Hjja https://t.…",FALSE,0,NA,2017-01-17 14:33:43,FALSE,NA,"821364886412414977",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MagaligranG",1331,TRUE,FALSE,NA,NA,"","fr","http://pbs.twimg.com/profile_images/809756629172449280/gEYT428s_normal.jpg"
